date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:46	3176/3176	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202015%2013:05:50%20GMT	http://www.crebugs.com/outdatedbrowser/outdatedbrowser.min.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/outdatedbrowser/outdatedbrowser.min.js	(from http://www.crebugs.com/member/join.php)
16:15:48	6847/6847	---M--	200	added ('OK')	image/png	etag:%22b781ff-1abf-55e996e6%22	http://www.crebugs.com/images/layout/login_page_logo.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/login_page_logo.png	(from http://www.crebugs.com/css/style.css)
16:15:48	3329/3329	---M--	200	added ('OK')	image/png	etag:%22b781a0-d01-55e996e2%22	http://www.crebugs.com/images/layout/btn_login.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/btn_login.png	(from http://www.crebugs.com/css/style.css)
16:15:48	565144/565144	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202015%2013:04:10%20GMT	http://www.crebugs.com/dist/semantic.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/dist/semantic.js	(from http://www.crebugs.com/member/join.php)
16:15:49	1049/1049	---M--	200	added ('OK')	image/png	etag:%22b781fd-419-55e996e6%22	http://www.crebugs.com/images/layout/list_bg.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/list_bg.png	(from http://www.crebugs.com/css/style.css)
16:15:50	9189/9189	---M--	200	added ('OK')	image/png	etag:%22b7820e-23e5-55e996e7%22	http://www.crebugs.com/images/layout/mypage_bg01.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_bg01.png	(from http://www.crebugs.com/css/style.css)
16:15:50	29095/29095	---M--	200	added ('OK')	image/png	etag:%22b781d4-71a7-55e996e4%22	http://www.crebugs.com/images/layout/crebugs_partner_list.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/crebugs_partner_list.png	(from http://www.crebugs.com/css/style.css)
16:15:52	18067/18067	---M--	200	added ('OK')	image/png	etag:%22b7820f-4693-55e996e7%22	http://www.crebugs.com/images/layout/mypage_bg02.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_bg02.png	(from http://www.crebugs.com/css/style.css)
16:15:53	11399/11399	---M--	200	added ('OK')	image/png	etag:%22b78211-2c87-55e996e7%22	http://www.crebugs.com/images/layout/mypage_bg04.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_bg04.png	(from http://www.crebugs.com/css/style.css)
16:15:53	7330/7330	---M--	200	added ('OK')	image/png	etag:%22b78212-1ca2-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg01.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg01.png	(from http://www.crebugs.com/css/style.css)
16:15:54	9496/9496	---M--	200	added ('OK')	image/png	etag:%22b78213-2518-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg02.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg02.png	(from http://www.crebugs.com/css/style.css)
16:15:54	25354/25354	---M--	200	added ('OK')	image/png	etag:%22b78210-630a-55e996e7%22	http://www.crebugs.com/images/layout/mypage_bg03.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_bg03.png	(from http://www.crebugs.com/css/style.css)
16:15:55	8146/8146	---M--	200	added ('OK')	image/png	etag:%22b78214-1fd2-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg03.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg03.png	(from http://www.crebugs.com/css/style.css)
16:15:56	8013/8013	---M--	200	added ('OK')	image/png	etag:%22b78218-1f4d-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg07.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg07.png	(from http://www.crebugs.com/css/style.css)
16:15:56	3647/3647	---M--	200	added ('OK')	image/png	etag:%22b781c2-e3f-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_01email_off.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_01email_off.png	(from http://www.crebugs.com/css/style.css)
16:15:56	7360/7360	---M--	200	added ('OK')	image/png	etag:%22b78219-1cc0-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg08.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg08.png	(from http://www.crebugs.com/css/style.css)
16:15:57	3520/3520	---M--	200	added ('OK')	image/png	etag:%22b781c4-dc0-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_02phone_off.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_02phone_off.png	(from http://www.crebugs.com/css/style.css)
16:15:57	5421/5421	---M--	200	added ('OK')	image/png	etag:%22b781c6-152d-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_03user_off.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_03user_off.png	(from http://www.crebugs.com/css/style.css)
16:15:58	5542/5542	---M--	200	added ('OK')	image/png	etag:%22b781c8-15a6-55e996e4%22	http://www.crebugs.com/images/layout/cerfity_04profile_off.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_04profile_off.png	(from http://www.crebugs.com/css/style.css)
16:15:58	4569/4569	---M--	200	added ('OK')	image/png	etag:%22b781c1-11d9-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_01email.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_01email.png	(from http://www.crebugs.com/css/style.css)
16:15:58	4084/4084	---M--	200	added ('OK')	image/png	etag:%22b781c3-ff4-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_02phone.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_02phone.png	(from http://www.crebugs.com/css/style.css)
16:15:58	930/930	---M--	200	added ('OK')	image/png	etag:%22b7820c-3a2-55e996e7%22	http://www.crebugs.com/images/layout/message_dot.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/message_dot.png	(from http://www.crebugs.com/css/style.css)
16:15:59	7074/7074	---M--	200	added ('OK')	image/png	etag:%22b781c5-1ba2-55e996e3%22	http://www.crebugs.com/images/layout/cerfity_03user.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_03user.png	(from http://www.crebugs.com/css/style.css)
16:15:59	2466/2466	---M--	200	added ('OK')	image/png	etag:%22b78221-9a2-55e996e7%22	http://www.crebugs.com/images/layout/profile_img.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/profile_img.png	(from http://www.crebugs.com/css/style.css)
16:15:59	7257/7257	---M--	200	added ('OK')	image/png	etag:%22b781c7-1c59-55e996e4%22	http://www.crebugs.com/images/layout/cerfity_04profile.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/cerfity_04profile.png	(from http://www.crebugs.com/css/style.css)
16:16:12	496158/496158	---M--	200	added ('OK')	image/jpeg	etag:%22b781e7-7921e-55e996e5%22	http://www.crebugs.com/images/layout/home.jpg	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/home.jpg	(from http://www.crebugs.com/member/join.php)
16:16:13	3096/3096	---M--	200	added ('OK')	image/png	etag:%22b781fe-c18-55e996e6%22	http://www.crebugs.com/images/layout/lite-green-check.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/lite-green-check.png	(from http://www.crebugs.com/member/login.php?PHPSESSID=185dbf63c0becc7ce2f7936c9f78e021)
16:16:14	7439/7439	---M--	200	added ('OK')	image/png	etag:%22b78216-1d0f-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg05.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg05.png	(from http://www.crebugs.com/css/style.css)
16:16:14	7728/7728	---M--	200	added ('OK')	image/png	etag:%22b78215-1e30-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg04.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg04.png	(from http://www.crebugs.com/css/style.css)
16:16:14	7772/7772	---M--	200	added ('OK')	image/png	etag:%22b78217-1e5c-55e996e7%22	http://www.crebugs.com/images/layout/mypage_listbg06.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/mypage_listbg06.png	(from http://www.crebugs.com/css/style.css)
16:16:14	28891/28891	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2007:16:02%20GMT	http://www.crebugs.com/member/login.php	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/member/login.html	(from http://www.crebugs.com/member/login.php?PHPSESSID=185dbf63c0becc7ce2f7936c9f78e021)
